labels,text
Malzeme_Karbon_Ayak_Izi,Monolif (tek tip lif) kumaşlar geri dönüşüm ve karbon salımı açısından avantaj sağlar mı?
Teknik_Tekstil,Teknik tekstillerin test ve kalite kontrolü nasıl yapılır?
Yanlis_Bilgi_Duzeltme,"Sentetik kumaşlar çevreye zarar vermezmiş, doğru olabilir mi?"
Cevre_Etkisi_Karsilastirma,Dijital baskı mı yoksa geleneksel tekstil baskı teknikleri mi daha çevrecidir?
Malzeme_Turu,Modal kumaşın özellikleri nelerdir?
Malzeme_Karbon_Ayak_Izi,Hangi kumaşlar karbon ayak izi açısından daha zararlıdır?
Etiketleme_Sorusu,Etiketteki bilgilere bakarak ürünün çevresel etkisini karşılaştırabilir miyim?
Etiketleme_Sorusu,Bu etikette su tüketimi bilgisi var mı?
Cevre_Etkisi_Karsilastirma,Polyester kumaşla pamuk kumaş arasında karbon ayak izi farkı nedir?
Bilinclendirme,"Daha az alışveriş yapmak, tekstil atıklarını ve karbon salımını azaltır."
Surdurulebilirlik_Tanimi,Küresel ısınma ile sürdürülebilirlik ilişkili midir?
Cevre_Etkisi_Karsilastirma,Sentetik elyaflar doğaya karışırken zehirli madde salar mı?
Surdurulebilirlik_Tanimi,Sürdürülebilirlik modada geçici bir trend mi?
Teknik_Tekstil,Geri dönüştürülmüş iplikler dayanıklı mı?
Cevre_Etkisi_Karsilastirma,Geri dönüştürülmüş malzemeden üretilen ayakkabılar çevreye ne kadar katkı sağlar?
Bilinclendirme,Moda endüstrisi su tüketimi açısından büyük bir etkendir
Teknik_Tekstil,Bu yara bandının üstündeki kumaş doğada çözünebiliyor mu?
Malzeme_Turu,"Polyesterin doğada çözünmediğini duydum, doğru mu bu?"
Malzeme_Turu,Malzeme seçiminde nelere dikkat edilmelidir?
Malzeme_Turu,Akrilik kumaş ne tür bir malzemedir?
Karbon_Ayak_İzi_Hesaplama,Bir tekstil ürününün karbon ayak izini nasıl hesaplarım?
Vedalasma,Görüşene dek kendine iyi bak
Yanlis_Bilgi_Duzeltme,Karbon ayak izi sadece üretim aşamasında oluşur sanıyordum.
Etiketleme_Sorusu,Etikette yeniden kullanım hakkında bilgi yer almalı mı?
Vedalasma,Görüşürüz!
Oneri_Alternatif,Sürdürülebilir iç giyim markaları konusunda önerin var mı?
Malzeme_Turu,Denim kumaşların üretimi neden bu kadar su tüketiyor?
Etiketleme_Sorusu,Etiket bilgileri ne kadar denetleniyor?
Malzeme_Karbon_Ayak_Izi,Doğal liflerin karbon ayak izi sentetiklere göre nasıldır?
Malzeme_Turu,"Bambu kumaşın çevreci olduğu doğru mu, yoksa pazarlama mı?"
Teknik_Tekstil,Teknik tekstil geri dönüşümü kolay mı?
Bilinclendirme,Sürdürülebilir malzeme kullanımı doğayı korur
Geri_Donusum,Ayakkabılar geri dönüştürülebilir mi?
Etiketleme_Sorusu,Sertifikalı ürünlerin etiketi nasıl olur?
Uretim_Sureci,Çevresel sertifikalar üretim sürecinde ne gibi değişiklik yaratır?
Oneri_Alternatif,Deniz yosunundan üretilen kumaşlar kullanılabilir mi?
Geri_Donusum,İş kıyafetlerinin geri dönüşüm süreci normal kıyafetlerden farklı mı?
Cevre_Etkisi_Karsilastirma,Mikroplastik sorunu hangi kumaşlarda daha yaygındır?
Etiketleme_Sorusu,“Doğa dostu üretim” ifadesinin yasal bir karşılığı var mı?
Uretim_Sureci,Güneş enerjisi gibi yenilenebilir kaynaklar tekstil üretiminde kullanılabilir mi?
Surdurulebilirlik_Tanimi,Sürdürülebilir moda sadece yüksek fiyatlı markalarla mı sınırlıdır?
Karbon_Ayak_İzi_Hesaplama,Organik ve sentetik kumaşların karbon ayak izi karşılaştırması nasıl yapılır?
Surdurulebilirlik_Tanimi,Doğaya saygılı ürünlerin özellikleri nelerdir
Uretim_Sureci,Geleneksel üretim yöntemleri neden daha fazla atık üretir?
Yanlis_Bilgi_Duzeltme,Görseldeki bilgi yanıltıcı olabilir.
Vedalasma,İyi akşamlar
Uretim_Sureci,Kumaş dokuma işlemi üretimin neresinde yer alır?
Etiketleme_Sorusu,Kumaş bileşimi dışında etikette dikkat edilmesi gereken başka ne var?
Selamlama,Bu polyester zararlı mı çevreye?
Yanlis_Bilgi_Duzeltme,"Organik pamuk üretimi daha fazla su tüketiyormuş, bu ne kadar doğru?"
Malzeme_Karbon_Ayak_Izi,"Karbon ayak izini düşürmek için lif seçimi mi, üretim teknolojisi mi daha kritiktir?"
Malzeme_Karbon_Ayak_Izi,Rejenere selüloz kumaşların karbon salımı nasıldır?
Teknik_Tekstil,Teknik tekstilde sürdürülebilir tasarım nasıl yapılır?
Bilinclendirme,Çevre bilinci tüketicinin tercihleriyle gelişir
Yanlis_Bilgi_Duzeltme,"Çevre dostu üretim yapan firmalar rekabet edemezmiş, doğru mu?"
Teknik_Tekstil,"Bu teknik tekstil ne anlama geliyor, normal tekstilden farkı ne?"
Cevre_Etkisi_Karsilastirma,Elyaf üretiminde su tüketimi hangi malzemede daha fazladır?
Karbon_Ayak_İzi_Hesaplama,Mobilya üretiminde de karbon ayak izi hesaplanıyor mu?
Uretim_Sureci,Giysi üretiminde kullanılan enerji türü neden önemli?
Bilinclendirme,Hangi alışkanlıklarım doğaya daha fazla zarar veriyor olabilir?
Bilinclendirme,Fast fashion'ın çevreye olan etkisi ne?
Etiketleme_Sorusu,Bir ürünün yaşam döngüsüne dair bilgiler etikette yer alabilir mi?
Malzeme_Karbon_Ayak_Izi,Lifin yetiştiği coğrafya karbon salımı üzerinde etkili midir?
Vedalasma,"Hoşça kal, doğayla kal!"
Etiketleme_Sorusu,Etiketlerde hangi çevresel bilgiler bulunur?
Oneri_Alternatif,Moda sektöründe alternatif üretim modelleri var mı?
Vedalasma,"Yardımın için sağ ol, tekrar sohbet etmeyi dört gözle bekliyorum."
Oneri_Alternatif,Geri dönüştürülmüş kumaşları nereden temin edebilirim?
Uretim_Sureci,Boyama süreci çevresel açıdan nasıl değerlendirilir?
Yonetmelik_Politika,Avrupa Birliği’nde karbon ayak izi politikaları nasıl?
Malzeme_Turu,Gerçek deri mi yoksa yapay deri mi daha doğa dostu?
Cevre_Etkisi_Karsilastirma,Kenevir mi bambu mu daha çevre dostu?
Bilinclendirme,"Geri dönüştürülmüş polyester, yeni plastik üretimini azaltarak çevreye katkı sağlar."
Teknik_Tekstil,Spor ekipmanları için kullanılan kumaşlar geri dönüyor mu?
Vedalasma,Yarın yeni bilgilerle görüşmek üzere.
Malzeme_Turu,Biyobozunur kumaşların hepsi doğada çözünüyor mu?
Etiketleme_Sorusu,Etiket bilgileri çevre dostu olduğunu kanıtlar mı?
Vedalasma,Tekrar beklerim.
Cevre_Etkisi_Karsilastirma,Üretim sırasında açığa çıkan mikroplastikler hangi materyallerde daha yaygındır?
Etiketleme_Sorusu,Etiketlerin doğru okunması neden önemli?
Yonetmelik_Politika,Fabrikaların tekstil atıklarını geri dönüşüm merkezlerine teslim etmesi zorunlu mu?
Etiketleme_Sorusu,Etiketlerde çevresel etkiler yerine sadece yıkama talimatı yazmak artık yeterli değil bence.
Yonetmelik_Politika,Renkli kumaş atıklarıyla beyaz kumaş atıkları aynı şekilde mi işleniyor?
Surdurulebilirlik_Tanimi,"Sadece geri dönüşüm yeterli mi, sürdürülebilir olmak için başka ne yapmak gerekiyor?"
Malzeme_Karbon_Ayak_Izi,Geri dönüştürülmüş malzemelerle üretilen bir kıyafetin toplam karbon ayak izi nasıl hesaplanır?
Uretim_Sureci,Bir tişört hangi malzemelerle ve nasıl bir süreçle üretilir?
Malzeme_Turu,Doğal kumaşlar her zaman çevreci midir?
Uretim_Sureci,Boyama ve kurutma işlemlerinde ne kadar enerji harcanır?
Bilinclendirme,Kıyafet tercihlerimle karbon ayak izimi gerçekten azaltabilir miyim?
Karbon_Ayak_İzi_Hesaplama,Sürdürülebilir tekstil üretiminde karbon hesaplama araçları nasıl çalışıyor?
Yanlis_Bilgi_Duzeltme,Bu yorum bilimsel temele dayanmıyor.
Oneri_Alternatif,Lif geri dönüşümü yapan firmaları önerebilir misin?
Malzeme_Turu,Tişörtler neden %100 pamuk değil de karışık malzemelerden yapılır?
Surdurulebilirlik_Tanimi,Sürdürülebilirlikte şeffaflık neden önemlidir?
Yanlis_Bilgi_Duzeltme,"Pamuk her zaman çevre dostudur, değil mi?"
Geri_Donusum,Bebek kıyafetleri geri dönüşüme uygun mu?
Selamlama,Bugün çevre için bir adım atalım mı?
Geri_Donusum,Geri dönüştürülmüş elyaf ile yeni kıyafet yapmak mümkün mü?
Bilinclendirme,Tekstil sektöründe yenilenebilir enerji kullanımı giderek yaygınlaşıyor.
Geri_Donusum,Geri dönüşümle elde edilen kumaşlar hangi alanlarda kullanılıyor?
Cevre_Etkisi_Karsilastirma,Sentetik boyar maddelerin su ekosistemine etkisi doğal boyalara göre nasıldır?
Yanlis_Bilgi_Duzeltme,Bu cümle yanıltıcı olabilir.
Teknik_Tekstil,Koruyucu giysiler teknik tekstil midir?
Geri_Donusum,Geri dönüşüm programlarına katılan mağazaları nereden öğrenebilirim?
Geri_Donusum,"Perde, halı gibi büyük ev tekstilleri nasıl geri dönüştürülür?"
Vedalasma,"Sağ ol, bu konularda artık daha dikkatli olacağım."
Bilinclendirme,"Yeşil yıkama terimini yeni duydum, ne anlama geliyor?"
Karbon_Ayak_İzi_Hesaplama,Pamuklu ürünlerin karbon ayak izi nedir?
Geri_Donusum,Süngerli ürünler (örneğin mont) geri dönüştürülebilir mi?
Surdurulebilirlik_Tanimi,Sürdürülebilirlik tüketim alışkanlıklarımızla nasıl bağlantılı?
Yanlis_Bilgi_Duzeltme,Doğal kumaşlar her zaman sürdürülebilir değildir.
Cevre_Etkisi_Karsilastirma,Polyester yıkandığında mikroplastik salınımı yapar mı?
Oneri_Alternatif,Modüler kıyafet tasarımları hakkında ne düşünüyorsun? Nereden bulabilirim?
Surdurulebilirlik_Tanimi,Geri dönüşüm sürdürülebilirliğin bir parçası mıdır?
Geri_Donusum,Geri dönüşümlü tekstil ürünlerini online satın alabileceğim yerler var mı?
Teknik_Tekstil,Antistatik tekstil ürünleri ne işe yarar?
Cevre_Etkisi_Karsilastirma,Polyester kumaş geri dönüşümü pamuktan daha mı çevrecidir?
Malzeme_Karbon_Ayak_Izi,Çevre dostu kumaş seçiminde karbon ayak izi nasıl belirlenir?
Yonetmelik_Politika,Avrupa Birliği'ne tekstil ihraç ederken hangi sürdürülebilirlik belgeleri gerekli?
Malzeme_Turu,İklim dostu malzemeler nelerdir?
Cevre_Etkisi_Karsilastirma,Doğal reçinelerle güçlendirilmiş tekstiller çevre açısından avantajlı mı?
Karbon_Ayak_İzi_Hesaplama,Bir tekstil ürününün karbon ayak izi nasıl hesaplanır?
Bilinclendirme,Dönüştürülebilir tekstil ürünleri hakkında bilgi verir misin?
Malzeme_Karbon_Ayak_Izi,Yıkaması kolay kıyafetler karbon ayak izini azaltmada bir avantaj sağlar mı?
Oneri_Alternatif,Alternatif tekstil hammaddeleri hangileri?
Bilinclendirme,Bir kıyafet doğaya karışana kadar geçen sürede çevreye nasıl etkiler bırakıyor?
Yanlis_Bilgi_Duzeltme,Geri dönüşüm bu şekilde işlemiyor.
Yanlis_Bilgi_Duzeltme,"Sadece doğal kumaşlar sürdürülebilir olurmuş, bu doğru mu?"
Geri_Donusum,Tekstil geri dönüşümünün karbon ayak izi üzerinde etkisi nedir?
Etiketleme_Sorusu,Etiket bilgisi ile pazarlama ne kadar örtüşüyor?
Cevre_Etkisi_Karsilastirma,Su itici özellikli tekstil kaplamaları çevre açısından ne kadar güvenlidir?
Surdurulebilirlik_Tanimi,Çevre dostu üretim yöntemleri neden bu kadar önemli?
Malzeme_Turu,Pamuk üretimi su tüketimi açısından ne kadar sorunlu?
Surdurulebilirlik_Tanimi,Tekstil atıklarının geri dönüşümü ne kadar verimli?
Bilinclendirme,Geri dönüştürülmüş polyester ne kadar çevre dostu?
Karbon_Ayak_İzi_Hesaplama,Üretimden sonra nakliye süreci karbon ayak izini nasıl etkiler?
Selamlama,Sohbetimize başlayalım mı?
Teknik_Tekstil,Bu yapışkanlı bezlerin üretimi sırasında doğaya zarar veriliyor mu?
Bilinclendirme,Sürdürülebilirlik bireysel sorumlulukla başlar
Malzeme_Turu,Tencel ve Lyocell aynı şey mi yoksa fark var mı?
Teknik_Tekstil,Filtrasyon sistemlerinde hangi tekstil ürünleri kullanılır?
Teknik_Tekstil,Fabrikalarda makinelerin üstüne örtülen koruyucu bezler atık olarak ne oluyor?
Malzeme_Karbon_Ayak_Izi,Tekstil üretiminde kullanılan enerji türü karbon salınımını nasıl etkiler?
Oneri_Alternatif,Tayt veya spor giyimde çevre dostu alternatif kumaş önerir misin?
Etiketleme_Sorusu,"Bu çantanın etiketinde karbon nötr üretim yazıyor, bu nasıl sağlanıyor?"
Cevre_Etkisi_Karsilastirma,Doğal liflerin çevresel geri dönüşü daha mı kolaydır?
Yonetmelik_Politika,Yönetmeliklere uyum için danışmanlık alınıyor mu?
Cevre_Etkisi_Karsilastirma,Geri dönüştürülmüş polyester mi yoksa yeni üretilmiş polyester mi daha çevreci?
Karbon_Ayak_İzi_Hesaplama,Daha az kıyafet alarak doğaya katkıda bulunabilir miyim?
Yanlis_Bilgi_Duzeltme,Bu konuda duyduğunuz bilgi doğru değil.
Malzeme_Turu,Doğal lifler hangileridir?
Vedalasma,Doğa için teşekkür ederiz.
Teknik_Tekstil,Atık malzemeler teknik tekstilde tekrar kullanılır mı?
Bilinclendirme,Bambu kumaşlar gerçekten doğa dostu mu?
Teknik_Tekstil,Teknik tekstilde tüketici bilinçli mi?
Malzeme_Turu,Polyester kumaşların yapısı nasıldır?
Uretim_Sureci,Organik üretimde süreçler ne yönde değişir?
Selamlama,Yardım isterim.
Geri_Donusum,Yıpranmış kazakları atmak yerine ne yapabilirim?
Bilinclendirme,Sadece sürdürülebilir ürünler mi almalıyım?
Yanlis_Bilgi_Duzeltme,İklim pozitif tekstil diye bir şey gerçekten mümkün mü?
Yanlis_Bilgi_Duzeltme,Sürdürülebilirlik çok boyutlu bir konudur.
Bilinclendirme,Kıyafetlerin üretim sürecine dair daha fazla bilgi edinmek istiyorum.
Malzeme_Turu,Elastik kumaşların doğada çözünmesi daha mı uzun sürer?
Vedalasma,Bir dahaki sefere daha fazla bilgiyle görüşürüz
Oneri_Alternatif,Daha az enerji harcayan üretim teknikleri var mı?
Oneri_Alternatif,Çevre dostu etiketleme malzemesi önerir misin?
Selamlama,"Merhaba, tekstilde sürdürülebilirliğin ne anlama geldiğini açıklar mısın?"
Yonetmelik_Politika,"Sürdürülebilir kumaş kullanımı, teşvik programlarında avantaj sağlıyor mu?"
Geri_Donusum,Giyilmeyen tişörtleri atmak yerine ne yapabilirim?
Cevre_Etkisi_Karsilastirma,Doğal elyafların karbon ayak izi daha mı düşüktür?
Malzeme_Karbon_Ayak_Izi,Geri dönüşümde kullanılan enerji türü de karbon ayak izine dahil edilmeli mi?
Vedalasma,Kendine iyi bak
Surdurulebilirlik_Tanimi,"Sadece organik tarım yapmak yeterli midir, yoksa başka yöntemler de var mı?"
Oneri_Alternatif,Alternatif tekstil boyası önerin var mı?
Geri_Donusum,"Geri dönüşümde fermuar, düğme gibi parçalar ne oluyor?"
Karbon_Ayak_İzi_Hesaplama,Bu kumaşın karbon ayak izi ne kadar?
Teknik_Tekstil,Kıyafet dışındaki kumaşlarda da geri dönüşüm var mı?
Teknik_Tekstil,Teknik tekstiller hangi sektörlerde zorunludur?
Vedalasma,"Bugün çok şey öğrendim, teşekkürler!"
Vedalasma,Yarın görüşürüz.
Teknik_Tekstil,Yangına dayanıklı kumaşlar çevre dostu olabilir mi?
Yanlis_Bilgi_Duzeltme,Tüm etik etiketli ürünler düşük karbon ayak izine sahip midir?
Yanlis_Bilgi_Duzeltme,Sürdürülebilirlik için sadece çevre yeterli değildir.
Selamlama,Merhaba! Yeşil dönüşüm başlasın.
Bilinclendirme,Etik üretim hakkında daha fazla bilgi almak istiyorum.
Etiketleme_Sorusu,Etikette geri dönüştürülebilir sembolü var mı?
Etiketleme_Sorusu,Etikette üretim yeri yazıyor mu?
Teknik_Tekstil,Askeri tekstiller sürdürülebilir üretilebilir mi?
Selamlama,Bugün neler merak ediyorsunuz?
Selamlama,Birkaç şey merak ediyorum.
Teknik_Tekstil,Biyobozunur teknik tekstil var mı?
Malzeme_Turu,Hangi kumaşlar daha az mikroplastik salınımı yapar?
Karbon_Ayak_İzi_Hesaplama,Kıyafet alışverişi yaparken karbon etkisini nasıl azaltabilirim?
Oneri_Alternatif,Kapsül gardırop oluşturmak sürdürülebilirlik açısından iyi bir alternatif mi?
Cevre_Etkisi_Karsilastirma,"Yün mü, pamuk mu çevre açısından daha avantajlıdır?"
Malzeme_Turu,Yıkanabilir kağıt kumaşlar sürdürülebilir sayılır mı?
Yonetmelik_Politika,Türkiye'de sürdürülebilir tekstille ilgili bir ulusal strateji belgesi var mı?
Oneri_Alternatif,Sentetik kumaşlara alternatif doğal seçenekler nelerdir?
Uretim_Sureci,Üretim sürecinin optimizasyonu çevreye nasıl fayda sağlar?
Uretim_Sureci,Makinelerin enerji verimliliği üretime nasıl yansır?
Selamlama,"Selamlar, yeşil düşünmeye hazır mısınız?"
Teknik_Tekstil,Medikal tekstillerde kullanılan lif türleri hangileridir?
Malzeme_Turu,Karışım kumaşların geri dönüşümü neden zor oluyor?
Surdurulebilirlik_Tanimi,Tekstil endüstrisinde geri dönüşüm yöntemlerini nasıl daha etkili hale getirebiliriz?
Bilinclendirme,Alışveriş yaparken gerçekten neye dikkat etmeliyim?
Geri_Donusum,Tekstil ürünlerini geri dönüşüm kutularına atabilir miyim?
Oneri_Alternatif,Daha az su tüketen kıyafetleri nasıl tanıyabilirim?
Uretim_Sureci,Üretimde karbon emisyonlarını azaltmak için ne yapılabilir?
Uretim_Sureci,Tekstil ürünleri hangi aşamalardan geçerek üretilir?
Malzeme_Karbon_Ayak_Izi,Geri dönüştürülebilir malzemeler neden önemlidir?
Yonetmelik_Politika,"Bakanlık, tekstil atıkları konusunda düzenli denetim yapıyor mu?"
Yanlis_Bilgi_Duzeltme,"Doğal kumaşlar çevreye daha çok zarar verirmiş, bu bilgi doğru mu?"
Cevre_Etkisi_Karsilastirma,Antibakteriyel işlem görmüş kumaşlar çevreye zarar verir mi?
Yanlis_Bilgi_Duzeltme,Bilgiyi yaymadan önce doğruluğu kontrol edilmelidir.
Yanlis_Bilgi_Duzeltme,Geri dönüşümde enerji tüketimi göz ardı edilemez.
Vedalasma,Hoşça kal
Bilinclendirme,Geri dönüşümle karbon salımı nasıl azaltılabilir?
Uretim_Sureci,Sürdürülebilir üretim ile geleneksel üretim arasındaki farklar neler?
Etiketleme_Sorusu,"Etiket, üretim tarihini içermeli mi?"
Oneri_Alternatif,Daha az yıkama gerektiren kumaş türleri hangileri olabilir?
Yonetmelik_Politika,Yasal zorunluluklar firmaların sürdürülebilirliğe bakışını etkiliyor mu?
Teknik_Tekstil,Hastanede kullanılan örtüler geri dönüştürülebiliyor mu?
Vedalasma,Her zaman buradayım.
Malzeme_Karbon_Ayak_Izi,"Liflerin çürütülerek ayrıştırılması (örneğin keten) karbon salımını artırır mı, azaltır mı?"
Surdurulebilirlik_Tanimi,Doğal kaynakları daha verimli kullanmak için neler yapılabilir?
Cevre_Etkisi_Karsilastirma,Endüstriyel çamaşırhane kullanımıyla evde yıkama arasında enerji kullanımı farkı nedir?
Malzeme_Turu,Geri dönüştürülmüş polyester gerçekten işe yarıyor mu?
Uretim_Sureci,Ham maddeler fabrikaya geldikten sonra ne olur?
Etiketleme_Sorusu,Etiketlerde karbon birim standartı var mı?
Teknik_Tekstil,Bu örtüler yağmurda parçalanıp doğaya karışıyor mu?
Uretim_Sureci,Sürdürülebilirlik üretim planlamasına nasıl dahil edilir?
Malzeme_Turu,Geri dönüştürülmüş kumaşlar malzeme türü olarak nasıl sınıflanır?
Oneri_Alternatif,Soya bazlı tekstil ürünleri hakkında ne düşünüyorsun?
Surdurulebilirlik_Tanimi,Firmaların sürdürülebilirlik ilkelerine uyması neden bu kadar önemli?
Surdurulebilirlik_Tanimi,Moda endüstrisinin çevreye etkisini azaltmak için hangi önlemler alınmalı?
Karbon_Ayak_İzi_Hesaplama,Kıyafet seçimlerimin doğaya etkisini nasıl ölçebilirim?
Karbon_Ayak_İzi_Hesaplama,Hesaplamalar ne sıklıkla güncellenmeli?
Oneri_Alternatif,Doğal boyalı tekstil ürünleri nerede bulabilirim?
Etiketleme_Sorusu,Etiketler çevre dostu üretimi teşvik eder mi?
Teknik_Tekstil,Güneşlik perdeler çevreye duyarlı şekilde üretilebilir mi?
Geri_Donusum,Eski tekstil ürünlerini yerel belediyeler topluyor mu?
Etiketleme_Sorusu,"Etiket, bir ürünün ne kadar enerjiyle üretildiğini gösterebilir mi?"
Vedalasma,"Seninle konuşmak güzeldi, yakında tekrar buluşalım."
Geri_Donusum,Geri dönüşümden elde edilen iplikler hangi ürünlerde kullanılıyor?
Karbon_Ayak_İzi_Hesaplama,Kıyafet üretiminde kullanılan enerji miktarının karbon ayak izine etkisi nedir?
Teknik_Tekstil,Alev geciktirici tekstiller nerelerde kullanılır?
Malzeme_Turu,“Bio-based” yazan kumaşlar gerçekten doğa dostu mu?
Malzeme_Turu,Tencel kumaşı nedir?
Surdurulebilirlik_Tanimi,Moda tasarımında sürdürülebilirlik ilkeleri nasıl uygulanabilir?
Malzeme_Turu,Teknik kumaşlarda sürdürülebilirlik genelde göz ardı mı ediliyor?
Yonetmelik_Politika,"Devlet, sahte sürdürülebilirlik sertifikaları kullanan markalara yaptırım uyguluyor mu?"
Oneri_Alternatif,Lif bazlı su tüketimini kıyaslayabilir misin?
Malzeme_Karbon_Ayak_Izi,Pamuklu kumaşın karbon ayak izi polyesterle kıyaslandığında nasıldır?
Bilinclendirme,Tekstil sektörünün çevreye olan etkileri konusunda halk yeterince bilinçli mi?
Teknik_Tekstil,Teknik tekstilde kullanılan malzemeler çevre dostu mu?
Teknik_Tekstil,Binanın dış yüzeyini kaplayan o file gibi şeyler ne kadar sürdürülebilir?
Yanlis_Bilgi_Duzeltme,"Doğal boyalar çevreyi sentetik boyalardan daha çok kirletirmiş, doğru olabilir mi?"
Geri_Donusum,Geri dönüştürülmüş ürünler doğaya daha az zarar mı verir?
Yanlis_Bilgi_Duzeltme,Bu iddia reklam amaçlı abartılmış olabilir.
Oneri_Alternatif,Hangi kumaşlar geri dönüşüme daha uygundur?
Surdurulebilirlik_Tanimi,Kullandığımız ürünlerin çevresel etkisini azaltmanın yolları nelerdir
Selamlama,Tekstil ve sürdürülebilirlik hakkında konuşalım mı?
Oneri_Alternatif,Enerji tasarruflu kumaş üretim yöntemleri var mı?
Vedalasma,"Sohbet için teşekkürler, yakında tekrar görüşelim."
Teknik_Tekstil,Karbon nötr teknik tekstil üretmek mümkün mü?
Yanlis_Bilgi_Duzeltme,Sürdürülebilirlik sadece malzeme ile sınırlı değildir.
Vedalasma,Buraya kadar geldiğin için teşekkürler
Geri_Donusum,Geri dönüşümlü ürünlerle yeni ürünler arasında fiyat farkı olur mu?
Malzeme_Turu,"Giysilerde kullanılan dolgu malzemeleri (örneğin kaz tüyü, polyester elyaf) çevresel olarak fark yaratır mı?"
Cevre_Etkisi_Karsilastirma,Kumaş üretiminde enerji kullanımı açısından en verimli malzeme hangisidir?
Yanlis_Bilgi_Duzeltme,Etik üretimle sürdürülebilirlik aynı şeydir sanıyordum.
Vedalasma,İyi dileklerle
Bilinclendirme,Geri dönüşümle yapılan kıyafetler hakkında ne düşünüyorsun?
Malzeme_Karbon_Ayak_Izi,Bambu kumaş gerçekten sürdürülebilir mi?
Teknik_Tekstil,Tarım alanlarını örten örtüler çevre dostu malzemeden yapılabilir mi?
Vedalasma,Şimdilik hoşça kal
Uretim_Sureci,Tekstil fabrikalarında karbon salınımı hangi aşamada artar?
Surdurulebilirlik_Tanimi,Sürdürülebilir marka nasıl tanımlanır?
Cevre_Etkisi_Karsilastirma,Geri dönüştürülmüş naylon ile geri dönüştürülmüş pamuk arasındaki fark ne kadar büyüktür?
Karbon_Ayak_İzi_Hesaplama,Kıyafetlerin kullanım ömrü karbon ayak izini ne kadar değiştirebilir?
Malzeme_Turu,Yapay malzemelerin dezavantajları nelerdir?
Surdurulebilirlik_Tanimi,"Bu kavram sadece zengin ülkeler için mi geçerli, her yerde mümkün mü?"
Teknik_Tekstil,Bu yara bandının üstündeki kumaş çevreye zararlı mı?
Surdurulebilirlik_Tanimi,Doğayı korumak için neler yapmak gerekir
Yonetmelik_Politika,Tekstil sektöründe sürdürülebilirlik kurallarını ihlal eden firmalara hangi yaptırımlar uygulanıyor?
Oneri_Alternatif,Karbon nötr tekstil markaları hangileri?
Karbon_Ayak_İzi_Hesaplama,Kıyafetler yıkanırken bile karbon salınımı olur mu?
Oneri_Alternatif,Hangi malzemeler biyobozunur özellik taşır?
Cevre_Etkisi_Karsilastirma,Sentetik kumaşlar ile doğal kumaşların çevre etkisi nasıl kıyaslanır?
Yonetmelik_Politika,Yeşil üretim politikası nedir?
Geri_Donusum,Eski tekstil ürünlerinden dolgu malzemesi yapmak mümkün mü?
Etiketleme_Sorusu,Bir markanın sürdürülebilirlik iddiasını etiketten kontrol edebilir miyim?
Yanlis_Bilgi_Duzeltme,"Yeşil etiketler tamamen göstermelikmiş, bu ne kadar doğru?"
Geri_Donusum,Kumaşların geri dönüşüm süresi ne kadar sürüyor?
Yonetmelik_Politika,Denetimlerde çevre standartlarına uymayan işletmelere ceza kesiliyor mu?
Etiketleme_Sorusu,"“Biyoçözünür” ifadesi etikette varsa, bu ne kadar güvenilir?"
Oneri_Alternatif,Sentetik yerine hangi doğal elyaflar hem rahat hem de sürdürülebilir?
Uretim_Sureci,Giysiler üretilirken hangi işlemler sırasıyla uygulanır?
Karbon_Ayak_İzi_Hesaplama,Pamuk yerine bambu tercih etsem daha mı az karbon salınır?
Yonetmelik_Politika,İklim kriziyle mücadelede tekstil politikalarının rolü nedir?
Malzeme_Karbon_Ayak_Izi,Bitkisel kökenli tekstil ürünleri çevre için daha mı az zararlı?
Yonetmelik_Politika,Yeni çıkan AB düzenlemeleri Türkiye'deki küçük ölçekli tekstil firmalarını nasıl etkiler?
Selamlama,"Merhaba, birlikte bilinçlenelim!"
Malzeme_Turu,Giysinin etiketinde yazan “modal” ne anlama geliyor?
Etiketleme_Sorusu,"Bazı etiketlerde karbon ayak izi değeri yazıyor, bu bilgiler ne kadar denetleniyor?"
Yonetmelik_Politika,Politikalar ihracatta sürdürülebilir sertifikaları şart koşuyor mu?
Etiketleme_Sorusu,"Etiketlerde sosyal adaletle ilgili bilgi de olmalı, örneğin adil üretim koşulları."
Karbon_Ayak_İzi_Hesaplama,Karbon salımı hesaplama yöntemi hakkında bilgi verir misin?
Karbon_Ayak_İzi_Hesaplama,Ayakkabılarım vegan ama karbon ayak izi daha mı düşük olur?
Vedalasma,Gelecekte tekrar görüşmek üzere.
Malzeme_Karbon_Ayak_Izi,Çevre dostu kumaşlar pahalı mı oluyor genelde?
Bilinclendirme,"Karbon ayak izi nedir, neden azaltmalıyız?"
Yonetmelik_Politika,Politikalar karbon nötr hedefi koyuyor mu?
Yonetmelik_Politika,Yasal olarak karbon raporlama zorunlu mu?
Bilinclendirme,Kumaşın çevreye etkisini nasıl anlayabilirim?
Vedalasma,"Hoşça kalın, bilgilerle kalın."
Vedalasma,Kapanışı yapalım o zaman
Etiketleme_Sorusu,Etiketleme sistemleri ülkelere göre değişir mi?
Cevre_Etkisi_Karsilastirma,"Sadece doğal malzeme kullanımı mı, yoksa üretim süreci de önemli mi?"
Selamlama,Yardım ister misin?
Selamlama,Çevre için bir adım da buradan atalım!
